Date,Ref,S3,S4,S1,S2
17.06.2021 23:00,12.8,7.52,8.69,5.28,4.11
18.06.2021 00:00,12.5,8.14,8.55,4.36,3.95
18.06.2021 01:00,12.8,8.61,9.39,4.19,3.41
18.06.2021 02:00,13.9,7.36,9.36,6.54,4.54
18.06.2021 03:00,12.7,8.5,8.98,4.2,3.72
18.06.2021 04:00,11.7,8.5,8.12,3.2,3.58
18.06.2021 05:00,13.4,8.79,9.28,4.61,4.12
18.06.2021 06:00,13.9,8.87,9.68,5.03,4.22
18.06.2021 07:00,12.7,7.58,9.07,5.12,3.63
18.06.2021 08:00,11.5,7.76,8.5,3.74,3
18.06.2021 09:00,11.9,7.57,8.17,4.33,3.73
18.06.2021 10:00,12.2,8.7,8.57,3.5,3.63
18.06.2021 11:00,12.7,8.41,9.83,4.29,2.87
18.06.2021 12:00,13.4,9.27,9.8,4.13,3.6
18.06.2021 13:00,13.6,9.5,10.55,4.1,3.05
18.06.2021 14:00,13.9,9.92,10.28,3.98,3.62
18.06.2021 15:00,14.4,9.81,10.09,4.59,4.31
18.06.2021 16:00,14.7,10.11,10.73,4.59,3.97
18.06.2021 17:00,14.7,9.95,10.15,4.75,4.55
18.06.2021 18:00,14.6,10.03,10.21,4.57,4.39
18.06.2021 19:00,15.4,9.84,11.63,5.56,3.77
18.06.2021 20:00,13.5,8.42,10.56,5.08,2.94
18.06.2021 21:00,12.4,8.2,9.71,4.2,2.69
18.06.2021 22:00,17.6,6.24,7.93,11.36,9.67
18.06.2021 23:00,8.6,5.83,8.16,2.77,0.44
19.06.2021 00:00,7,6.25,6.63,0.75,0.37
19.06.2021 01:00,7.2,6.72,6.34,0.48,0.86
19.06.2021 02:00,7.9,6.63,7.17,1.27,0.73
19.06.2021 03:00,8.4,6.61,7.99,1.79,0.41
19.06.2021 04:00,8.9,7.43,8.03,1.47,0.87
19.06.2021 05:00,9.7,8.39,8.69,1.31,1.01
19.06.2021 06:00,10,8.9,8.37,1.1,1.63
19.06.2021 07:00,11,8.73,9.65,2.27,1.35
19.06.2021 08:00,12.4,9.01,9.69,3.39,2.71
19.06.2021 09:00,13.1,10.08,9.55,3.02,3.55
19.06.2021 10:00,16.1,9.61,11.05,6.49,5.05
19.06.2021 11:00,16.9,11.32,11.16,5.58,5.74
19.06.2021 12:00,16.9,10.73,11.65,6.17,5.25
19.06.2021 13:00,16.1,10.39,11.39,5.71,4.71
19.06.2021 14:00,16.5,10.27,10.61,6.23,5.89
19.06.2021 15:00,16.9,9.84,9.7,7.06,7.2
19.06.2021 16:00,17.6,10.71,10.65,6.89,6.95
19.06.2021 17:00,18.1,10.78,11.52,7.32,6.58
19.06.2021 18:00,17.7,10.15,11.88,7.55,5.82
19.06.2021 19:00,17.5,12.2,11.68,5.3,5.82
19.06.2021 20:00,20.9,12.5,13.4,8.4,7.5
19.06.2021 21:00,20.2,13.33,14.61,6.87,5.59
19.06.2021 22:00,21.5,14.36,14.62,7.14,6.88
19.06.2021 23:00,22.2,15.33,16.11,6.87,6.09
20.06.2021 00:00,22.7,16.16,16.79,6.54,5.91
20.06.2021 01:00,22.8,16.44,17.5,6.36,5.3
20.06.2021 02:00,22.7,15.89,17.62,6.81,5.08
20.06.2021 03:00,22.3,6.4,14.11,15.9,8.19
20.06.2021 04:00,12.3,4.27,5.18,8.03,7.12
20.06.2021 05:00,5.5,3.21,3.6,2.29,1.9
20.06.2021 06:00,5.2,4.4,3.96,0.8,1.24
20.06.2021 07:00,6.1,4.75,4.36,1.35,1.74
20.06.2021 08:00,5.5,3.74,3.92,1.76,1.58
20.06.2021 09:00,5.3,4,3.28,1.3,2.02
20.06.2021 10:00,4.7,3.27,3.49,1.43,1.21
20.06.2021 11:00,4.1,4.89,3.97,0.79,0.13
20.06.2021 12:00,10.3,7.74,5.21,2.56,5.09
20.06.2021 13:00,18.1,6.36,7.02,11.74,11.08
20.06.2021 14:00,19.1,8.59,8,10.51,11.1
